State,Age,Gender,Plan,Price
IL,18,M,SA1,164.99
IL,19,M,SA1,166.41
IL,20,M,SA1,167.83
IL,21,M,SA1,169.25
IL,22,M,SA1,170.66
IL,23,M,SA1,172.08
IL,24,M,SA1,173.5
IL,25,M,SA1,174.92
IL,26,M,SA1,177.71
IL,27,M,SA1,180.5
IL,28,M,SA1,183.29
IL,29,M,SA1,186.08
IL,30,M,SA1,188.88
IL,31,M,SA1,191.67
IL,32,M,SA1,194.46
IL,33,M,SA1,197.25
IL,34,M,SA1,200.04
IL,35,M,SA1,202.83
IL,36,M,SA1,211.19
IL,37,M,SA1,219.55
IL,38,M,SA1,227.91
IL,39,M,SA1,236.27
IL,40,M,SA1,244.62
IL,41,M,SA1,252.98
IL,42,M,SA1,261.34
IL,43,M,SA1,269.7
IL,44,M,SA1,278.06
IL,45,M,SA1,286.42
IL,46,M,SA1,300.87
IL,47,M,SA1,315.32
IL,48,M,SA1,329.78
IL,49,M,SA1,344.23
IL,50,M,SA1,358.68
IL,51,M,SA1,373.13
IL,52,M,SA1,387.58
IL,53,M,SA1,402.04
IL,54,M,SA1,416.49
IL,55,M,SA1,430.94
IL,56,M,SA1,448.9
IL,57,M,SA1,466.87
IL,58,M,SA1,484.83
IL,59,M,SA1,502.8
IL,60,M,SA1,520.76
IL,61,M,SA1,538.73
IL,62,M,SA1,556.69
IL,63,M,SA1,574.66
IL,64,M,SA1,592.62
IL,18,M,SA2,194.8
IL,19,M,SA2,196.06
IL,20,M,SA2,197.31
IL,21,M,SA2,198.57
IL,22,M,SA2,199.82
IL,23,M,SA2,201.08
IL,24,M,SA2,202.33
IL,25,M,SA2,203.59
IL,26,M,SA2,206.99
IL,27,M,SA2,210.38
IL,28,M,SA2,213.78
IL,29,M,SA2,217.18
IL,30,M,SA2,220.58
IL,31,M,SA2,223.97
IL,32,M,SA2,227.37
IL,33,M,SA2,230.77
IL,34,M,SA2,234.16
IL,35,M,SA2,237.56
IL,36,M,SA2,248.72
IL,37,M,SA2,259.87
IL,38,M,SA2,271.03
IL,39,M,SA2,282.18
IL,40,M,SA2,293.34
IL,41,M,SA2,304.5
IL,42,M,SA2,315.65
IL,43,M,SA2,326.81
IL,44,M,SA2,337.96
IL,45,M,SA2,349.12
IL,46,M,SA2,367.05
IL,47,M,SA2,384.98
IL,48,M,SA2,402.91
IL,49,M,SA2,420.84
IL,50,M,SA2,438.78
IL,51,M,SA2,456.71
IL,52,M,SA2,474.64
IL,53,M,SA2,492.57
IL,54,M,SA2,510.5
IL,55,M,SA2,528.43
IL,56,M,SA2,550.56
IL,57,M,SA2,572.68
IL,58,M,SA2,594.81
IL,59,M,SA2,616.94
IL,60,M,SA2,639.06
IL,61,M,SA2,661.19
IL,62,M,SA2,683.32
IL,63,M,SA2,705.44
IL,64,M,SA2,727.57
IL,18,M,SA3,179.81
IL,19,M,SA3,181.35
IL,20,M,SA3,182.88
IL,21,M,SA3,184.42
IL,22,M,SA3,185.96
IL,23,M,SA3,187.5
IL,24,M,SA3,189.03
IL,25,M,SA3,190.57
IL,26,M,SA3,193.74
IL,27,M,SA3,196.92
IL,28,M,SA3,200.09
IL,29,M,SA3,203.27
IL,30,M,SA3,206.44
IL,31,M,SA3,209.61
IL,32,M,SA3,212.79
IL,33,M,SA3,215.96
IL,34,M,SA3,219.14
IL,35,M,SA3,222.31
IL,36,M,SA3,232.02
IL,37,M,SA3,241.73
IL,38,M,SA3,251.44
IL,39,M,SA3,261.15
IL,40,M,SA3,270.86
IL,41,M,SA3,280.58
IL,42,M,SA3,290.29
IL,43,M,SA3,300
IL,44,M,SA3,309.71
IL,45,M,SA3,319.42
IL,46,M,SA3,335.96
IL,47,M,SA3,352.51
IL,48,M,SA3,369.06
IL,49,M,SA3,385.6
IL,50,M,SA3,402.14
IL,51,M,SA3,418.69
IL,52,M,SA3,435.24
IL,53,M,SA3,451.78
IL,54,M,SA3,468.32
IL,55,M,SA3,484.87
IL,56,M,SA3,505.3
IL,57,M,SA3,525.74
IL,58,M,SA3,546.17
IL,59,M,SA3,566.61
IL,60,M,SA3,587.04
IL,61,M,SA3,607.48
IL,62,M,SA3,627.91
IL,63,M,SA3,648.35
IL,64,M,SA3,668.78
IL,18,M,SA4,217.06
IL,19,M,SA4,218.42
IL,20,M,SA4,219.77
IL,21,M,SA4,221.13
IL,22,M,SA4,222.49
IL,23,M,SA4,223.85
IL,24,M,SA4,225.2
IL,25,M,SA4,226.56
IL,26,M,SA4,230.52
IL,27,M,SA4,234.47
IL,28,M,SA4,238.42
IL,29,M,SA4,242.38
IL,30,M,SA4,246.34
IL,31,M,SA4,250.29
IL,32,M,SA4,254.24
IL,33,M,SA4,258.2
IL,34,M,SA4,262.16
IL,35,M,SA4,266.11
IL,36,M,SA4,279.35
IL,37,M,SA4,292.59
IL,38,M,SA4,305.84
IL,39,M,SA4,319.08
IL,40,M,SA4,332.32
IL,41,M,SA4,345.56
IL,42,M,SA4,358.8
IL,43,M,SA4,372.05
IL,44,M,SA4,385.29
IL,45,M,SA4,398.53
IL,46,M,SA4,419.53
IL,47,M,SA4,440.53
IL,48,M,SA4,461.52
IL,49,M,SA4,482.52
IL,50,M,SA4,503.52
IL,51,M,SA4,524.52
IL,52,M,SA4,545.52
IL,53,M,SA4,566.51
IL,54,M,SA4,587.51
IL,55,M,SA4,608.51
IL,56,M,SA4,634.28
IL,57,M,SA4,660.05
IL,58,M,SA4,685.83
IL,59,M,SA4,711.6
IL,60,M,SA4,737.37
IL,61,M,SA4,763.14
IL,62,M,SA4,788.92
IL,63,M,SA4,814.69
IL,64,M,SA4,840.46
